Accession,Original Taxonomy,Updated Taxonomy,Final Taxonomy,Name,Original Evaluation,Updated Evaluation,Final Classifier,ContML data
AGT55984.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGT55991.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGT57783.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGT57790.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGT57796.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGT57880.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AGT59214.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGT59220.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGT98648.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AGU01996.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AGU13645.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AGU16829.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGU16835.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGU16841.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGU16847.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGU67651.1,Gemycircularvirus,Gemygorvirus,Gemygorvirus,replication associated protein,X,X,X,X
AGU67653.1,Gemycircularvirus,Gemykibivirus,Gemykibivirus,replication associated protein,X,X,X,X
AGU67655.1,Gemycircularvirus,Gemykibivirus,Gemykibivirus,replication associated protein,X,X,X,X
AGU67657.1,Gemycircularvirus,Gemycircularvirus,Gemycircularvirus,replication associated protein,X,X,X,X
AGU67659.1,Gemycircularvirus,Gemycircularvirus,Gemycircularvirus,replication associated protein,X,X,X,X
AGU67661.1,Gemycircularvirus,Gemycircularvirus,Gemycircularvirus,replication associated protein,X,X,X,X
AGU67663.1,Gemycircularvirus,Gemycircularvirus,Gemycircularvirus,replication associated protein,X,X,X,X
AGU67665.1,Gemycircularvirus,Gemycircularvirus,Gemycircularvirus,replication associated protein,X,X,X,X
AGU67667.1,Gemycircularvirus,Gemycircularvirus,Gemycircularvirus,replication associated protein,X,X,X,X
AGU67669.1,Gemycircularvirus,Gemycircularvirus,Gemycircularvirus,replication associated protein,X,X,X,X
AGU67671.1,Gemycircularvirus,Gemycircularvirus,Gemycircularvirus,replication associated protein,X,X,X,X
AGU67673.1,Gemycircularvirus,Gemycircularvirus,Gemycircularvirus,replication associated protein,X,X,X,X
AGV02031.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGV02037.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGV02043.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGV02049.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGV02059.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGV02065.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGV02071.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGV02076.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AGV74354.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AGV74363.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGV76865.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AGV76871.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AGV76997.1,Circovirus,NaN,NaN,replicase protein,X,,,
AGW16183.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGW16189.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGW16195.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGW16201.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGW16207.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGW16213.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AGW18226.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AGW23623.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein C1,X,X,X,
AGX27425.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
AGX27429.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
AGX32185.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AGY30669.1,Circovirus,Circovirus,Circovirus,Rep protein,X,X,X,
AGZ15743.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AGZ20421.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AGZ20430.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AGZ20451.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AGZ20454.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AGZ91416.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AGZ91422.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AGZ91431.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGZ95035.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AGZ95242.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AGZ95248.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AGZ95256.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGZ95262.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGZ95268.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGZ95280.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AGZ95298.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA04049.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA39096.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AHA59116.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AHA61376.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA80805.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AHA80812.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AHA80818.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AHA80825.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AHA80838.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AHA80977.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AHA82162.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82168.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82176.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82183.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82190.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82196.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82203.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82211.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82217.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82224.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82230.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82236.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82243.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82250.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82256.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82262.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AHA82268.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
